ERBB2IP	SF3B1
HNRPH2	RABGAP1L
EIF2S1	FXR1
NFE2L2	WAC
PLEKHC1	PLS3
SEPT7	SH3BGRL
COPB	LOC58486
DKC1	GTF2E2
GOLGA4	PTK9
DYNC1I2	FXR1
ERBB2IP	RANBP2
MRPL34	NDUFS3
ADD3	PSIP1
C1orf160	SCAMP3
222271_at	CEACAM5
ALCAM	RGPD5
BRD8	MYCBP2
C7orf28A	COL11A2
FIBP	SIAHBP1
NUP153	THRAP2
hfl-B5	RPL7
EIF2S2	FLJ11021
EXTL2	TCEAL4
CRIM1	CTGF
ATP5G3	ETFB
FBLN1	MYH11
ABCB6	C8orf39
CRSP3	SLC35A1
CAPN7	FLJ10154
AURKAIP1	COX5A
CROP	SP3
REEP2	TAGLN3
CAPZA1	HNRPA2B1
DBT	DIP2A
DAG1	SIRT3
FGFR1OP	TBXA2R
CD52	IL7R
LIMD2	MAP4K1
ATP6V1D	SMCP
SMCP	TP53TG3
HNRPA3	THUMPD1
CYP2C9	ZNF192
CD84	POU4F1
PLCL2	POU4F1
CALD1	LPHN2
C14orf143	NOS1
ATP2A3	IGLJ3
CRHR2	CRYBB3
CEP170	COMMD8
AD7C-NTP	GAPDHS
ENO1	PDE3B
NACA	USP34
FAM60A	RNPC2
DDX3X	NAP1L1
C6orf62	XPO1
GOLGA8A	SRP72
GOLGA8A	JOSD3
HNRPDL	SRP72
CNOT2	SRP72
CSNK1A1	PAPOLA
CUTA	PRSS15
HLA-G	MAN2B1
BNIP2	THRAP2
FNTA	TCEA1
MBD4	PNRC2
CD74	HLA-G
ATP5D	COX5B
NACAP1	RPL5
H3F3A	ORC6L
ARID4B	PTEN
IGKC	IGLJ3
GGA3	MUC3A
SR140	UBXD2
C6orf111	SCC-112
FRYL	UPF3B
PAPOLA	YTHDF3
HLA-DQB1	RAC2
C6orf62	SET
GARNL1	PIK3C2A
RPL5	ZNF277
G6PC2	TRIM66
ACAD10	LHB
HLA-J	IGLJ3
KTN1	ZNF83
ADAMTS9	ATP6V1D
215176_x_at	IGHG3
220857_at	RNU17D
215126_at	GRM7
215176_x_at	217258_x_at
215182_x_at	LOC125893
ARID4B	NR3C1
PRSS7	RPS6KA6
ETV6	PPP3CC
C14orf166	CDK5RAP3
GPS1	PQLC1
218041_x_at	VPS13C
221155_x_at	MSH5
CYLD	STAT1
SYNGR2	TRADD
EIF4G2	FNTA
BRD8	EIF4G2
FLJ11021	RPS27A
PFAAP5	TARDBP
MTDH	NARS
POLR2L	SLC25A3
RPL12	RPS11
OGT	RPL9
DDX5	TAX1BP1
BRD8	DDX5
ARF1	HIRA
RPL14	RPL17
ATP6V0B	CTBP1
ATP6V0B	PQLC1
DCTN1	TCEB2
COX4I1	NDUFB8
RPS10	RPS18
EIF3S10	SFRS11
HSP90B1	PNN
EBAG9	MATR3
SERBP1	SET
LCN2	S100A11
C13orf10	SFRS11
ACTR2	TOP1
NACA	PHF3
DYNLT3	PAFAH1B1
LOC342346	STAT1
CRAT	FKBP4
KTN1	ZNF294
EIF3S6	IPO7
POPDC3	RAB6A
RPL13A	RPS18
SF3B1	WAC
NBPF1	SLTM
NDUFS3	POLD2
CD69	MBNL1
IQGAP1	MBNL1
PNN	RPL4
DDX1	HSPH1
NPM1	RPS3A
ADRM1	WDR18
RNPC2	WSB1
ADAM10	YME1L1
COPB	SRP72
ATP6AP2	RAPGEF2
MATR3	TIA1
MARCH7	TIA1
PUM2	SLC38A2
LEREPO4	NAP1L1
ITGA6	SEPT10
MAP3K7	RANBP2
CAV2	FER1L3
DCN	FBN1
ARPC5	SLC20A1
PPP1R2	RBM16
KIAA0907	OGT
APPBP1	GOLGA8A
PIGF	SENP6
ARL2	NGFRAP1
MARCH7	PAPOLA
MYL6	NOL7
EDG2	PDE1B
PRKAR2A	SLC25A16
HLA-DQB1	IL10RA
BCL7A	TCF7
MCAM	TAGLN
SPN	ZNF552
PDLIM3	TPM1
C2orf26	CLCA2
SIAH1	ZNF43
TNR	TXNL2
DDX50	RNPC2
MACF1	TCF4
218041_x_at	NACA
EIF5	PCNP
NDUFV1	PRNPIP
NAP1L1	RPL7
NAP1L1	TOP2B
CDC42SE1	RPL22
C6orf62	LOC342346
RPL13	RPL15
213158_at	TLOC1
DDX50	STAG2
HLA-B	HMHA1
PLEKHC1	TMEM47
217281_x_at	IGHM
CREB3	SPCS1
AKAP7	OR1F1
WAC	ZNF638
LHB	ORC6L
PCDH9	TUBB4Q
CCDC56	PEBP1
PNN	RWDD1
PIGF	WAC
SCC-112	VPS13C
C6orf111	PAPOLA
NPM1	SFRS5
BCLAF1	ZNF292
CLK1	RPL17
CAMSAP1L1	DDHD2
KIAA1109	MATR3
RPL14	RPL23A
213960_at	LPPR4
CHRNA4	ZFPL1
BAT2D1	SFRS2IP
DCLRE1C	SFRS2IP
PCM1	SERBP1
ATP6V1D	LGALS14
HLA-A	IGHA1
216545_at	RBM12B
CSAG2	MUC3A
FLJ21986	TTLL2
CHCHD2	MIF
CUTA	STUB1
CCRN4L	EDAR
220375_s_at	ANKRD17
BTN2A1	RPL6
